,Neighborhood,Price,Number of Beds,Number of Baths
263,"East Watertown, Watertown","$4,825",3 Bed,2.5 Bath
264,"Columbia Point, Dorchester, Boston","$2,508",1 Bed,1.5 Bath
265,"Quincy Center, Quincy","$2,170",1 Bed,1.5 Bath
266,"Mission Hill, Boston","$2,455",1 Bed,1.5 Bath
267,"Thompsonville, Newton","$4,529",3 Bed,2.5 Bath
268,"Cambridgeport, Cambridge","$2,300",1 Bed,1.5 Bath
269,"Malden Center, Malden","$1,900",1 Bed,1.5 Bath
270,"General Donovan, Lawrence","$1,600",1 Bed,1.5 Bath
271,"North Common, Lawrence","$2,700",3 Bed,2.5 Bath
272,"Prudential - St. Botolph, Back Bay, Boston","$4,700",3 Bed,2.5 Bath
273,"Central Maverick Square - Paris Street, East Boston, Boston","$3,050",2 Bed,2.5 Bath
274,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,108",Studio,1 Bath
275,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,227",1 Bed,1.5 Bath
276,"Back Central, Lowell","$1,750",1 Bed,1.5 Bath
277,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,515",2 Bed,2.5 Bath
278,"Thompson Square - Bunker Hill, Charlestown, Boston","$2,250",1 Bed,1.5 Bath
279,"Downtown Boston, Boston","$2,951",1 Bed,1.5 Bath
280,"Prudential - St. Botolph, Back Bay, Boston","$3,900",2 Bed,2.5 Bath
281,"Downtown Boston, Boston","$2,951",1 Bed,1.5 Bath
282,"Malden Center, Malden","$2,777",2 Bed,2.5 Bath
283,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,780",2 Bed,2.5 Bath
284,"South Salem, Salem","$1,610",1 Bed,1.5 Bath
285,"St. Elizabeth's, Brighton, Boston","$2,600",2 Bed,1.5 Bath
286,"Shawmut, South End, Boston","$2,929",Studio,1 Bath
287,"Shawmut, South End, Boston","$2,574",1 Bed,1.5 Bath
288,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,368",1 Bed,1.5 Bath
289,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,871",2 Bed,2.5 Bath
290,Reading,"$1,900",1 Bed,1.5 Bath
291,"Centralville, Lowell","$1,200",2 Bed,1.5 Bath
292,Randolph,"$3,315",3 Bed,3.5 Bath
293,"Havenville, Burlington","$1,595",2 Bed,1.5 Bath
294,"Neighborhood Nine, Cambridge","$1,950",1 Bed,1.5 Bath
295,Tewksbury,"$1,825",1 Bed,1.5 Bath
296,"Seaport District, D Street - West Broadway, South Boston, Boston","$8,855",3 Bed,2 Bath
297,Natick,"$2,328",1 Bed,1.5 Bath
298,"Mid-Cambridge, Cambridge","$2,200",1 Bed,1 Bath
299,Dracut,"$1,050",1 Bed,1.5 Bath
300,Natick,"$2,328",1 Bed,1.5 Bath
301,"Mid-Cambridge, Cambridge","$2,200",1 Bed,1 Bath
302,Dracut,"$1,050",1 Bed,1.5 Bath
303,Dedham,"$3,120",2 Bed,2.5 Bath
304,"North End, Boston","$3,075",1 Bed,1 Bath
305,Randolph,"$1,695",1 Bed,1.5 Bath
306,"Oak Square, Brighton, Boston","$2,300",2 Bed,1 Bath
307,"Central Maverick Square - Paris Street, East Boston, Boston","$2,985",2 Bed,2 Bath
308,"St. Elizabeth's, Brighton, Boston","$2,800",2 Bed,1 Bath
309,"Commonwealth, Brighton, Boston","$1,850",1 Bed,1 Bath
310,"Allston, Boston","$6,000",7 Bed,3 Bath
311,"Commonwealth, Brighton, Boston","$4,850",6 Bed,2 Bath
312,"Allston, Boston","$6,600",6 Bed,3 Bath
313,"St. Elizabeth's, Brighton, Boston","$4,500",4 Bed,2 Bath
314,"Allston, Boston","$6,300",6 Bed,3 Bath
315,"Chinatown - Leather District, Boston","$7,600",2 Bed,2.5 Bath
316,"North Allston, Allston, Boston","$4,750",5 Bed,2.5 Bath
317,"Allston, Boston","$10,900",9 Bed,3 Bath
318,"Allston, Boston","$6,000",7 Bed,3 Bath
319,"Hyde Square, Jamaica Plain, Boston","$3,800",3 Bed,2 Bath
320,"North End, Boston","$3,075",1 Bed,1 Bath
321,Randolph,"$1,695",1 Bed,1.5 Bath
322,"Mission Hill, Boston","$2,900",2 Bed,1.5 Bath
323,Dracut,"$1,350",2 Bed,1.5 Bath
324,"Huron Village, West Cambridge, Cambridge","$2,150",2 Bed,1 Bath
325,"North End, Boston","$3,865",2 Bed,1 Bath
326,"City Point, South Boston, Boston","$3,968",2 Bed,2 Bath
327,"Coolidge Corner, Brookline","$2,280",1 Bed,1 Bath
328,"North Allston, Allston, Boston","$2,900",3 Bed,1.5 Bath
329,"Coolidge Corner, Brookline","$3,300",3 Bed,1 Bath
330,"North Cambridge, Cambridge","$6,500",4 Bed,2 Bath
331,"Coolidge Corner, Brookline","$4,900",4 Bed,2 Bath
332,"D Street - West Broadway, South Boston, Boston","$4,450",2 Bed,2 Bath
333,"Prudential - St. Botolph, Back Bay, Boston","$7,190",2 Bed,2 Bath
334,"Oak Square, Brighton, Boston","$2,500",3 Bed,1 Bath
335,"Mission Hill, Boston","$3,200",4 Bed,1 Bath
