,Neighborhood,Price,Number of Beds,Number of Baths
768,"Mission Hill, Boston","$4,000",4 Bed,1 Bath
769,"Huron Village, West Cambridge, Cambridge","$3,100",2 Bed,2 Bath
770,"Riverside, Cambridge","$5,199",4 Bed,2 Bath
771,"Wellington Hill, Greater Mattapan, Boston","$2,600",4 Bed,1 Bath
772,"Allston, Boston","$3,600",4 Bed,2 Bath
773,"Oak Square, Brighton, Boston","$3,200",4 Bed,1 Bath
774,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,950",1 Bed,1 Bath
775,"Shawmut, South End, Boston","$4,449",2 Bed,2 Bath
776,"Egleston Square, Jamaica Plain, Boston","$3,475",3 Bed,1 Bath
777,"Forest Hills - Woodbourne, Jamaica Plain, Boston","$3,900",5 Bed,2 Bath
778,"Back Bay East, Back Bay, Boston","$4,300",2 Bed,1 Bath
779,"Commonwealth, Brighton, Boston","$3,200",4 Bed,1 Bath
780,"East Cambridge, Cambridge","$2,892",1 Bed,1 Bath
781,"West End, Boston","$2,565",Studio,1 Bath
782,"East Cambridge, Cambridge","$4,957",2 Bed,2 Bath
783,"Prudential - St. Botolph, Back Bay, Boston","$4,310",1 Bed,1 Bath
784,"Commonwealth, Brighton, Boston","$1,825",1 Bed,1 Bath
785,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,160",2 Bed,1 Bath
786,"Allston, Boston","$3,895",4 Bed,2 Bath
787,"Allston, Boston","$1,795",1 Bed,1 Bath
788,"Marina Bay, Quincy","$2,126",1 Bed,1 Bath
789,"Oak Square, Brighton, Boston","$2,800",3 Bed,2 Bath
790,"Mission Hill, Boston","$3,000",3 Bed,1 Bath
791,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,000",1 Bed,1 Bath
792,"Commonwealth, Brighton, Boston","$4,400",4 Bed,2 Bath
793,"Coolidge Corner, Brookline","$2,800",2 Bed,1 Bath
794,"Mission Hill, Boston","$2,200",2 Bed,1 Bath
795,"Commonwealth, Brighton, Boston","$4,200",5 Bed,3 Bath
796,"City Point, South Boston, Boston","$3,600",2 Bed,2 Bath
797,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,750",1 Bed,1 Bath
798,"Maplewood Highlands, Maplewood, Malden","$4,000",4 Bed,2.5 Bath
799,"East Somerville, Somerville","$4,800",5 Bed,2 Bath
800,"North Allston, Allston, Boston","$2,550",3 Bed,1 Bath
801,"Downtown Boston, Boston","$2,639",Studio,1 Bath
802,"Downtown Boston, Boston","$3,674",Studio,1 Bath
803,"Downtown Boston, Boston","$3,749",1 Bed,1 Bath
804,"North End, Boston","$3,300",2 Bed,1 Bath
805,"North Allston, Allston, Boston","$2,775",3 Bed,1 Bath
806,"Egleston Square, Jamaica Plain, Boston","$2,200",3 Bed,1 Bath
807,"St. Elizabeth's, Brighton, Boston","$2,100",2 Bed,1 Bath
808,"Allston, Boston","$1,725",1 Bed,1 Bath
809,"Sav-Mor, Roxbury, Boston","$3,300",4 Bed,1 Bath
810,"Mission Hill, Boston","$3,600",3 Bed,1.5 Bath
811,"St. Elizabeth's, Brighton, Boston","$2,175",2 Bed,1 Bath
812,"Coolidge Corner, Brookline","$3,500",3 Bed,1 Bath
813,"Back Bay East, Back Bay, Boston","$3,595",1 Bed,1 Bath
814,"Lower Roxbury, Roxbury, Boston","$6,000",4 Bed,1 Bath
815,"Allston, Boston","$2,200",1 Bed,1 Bath
816,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,900",1 Bed,1 Bath
817,"Harrison Lenox, South End, Boston","$3,600",2 Bed,2 Bath
818,"Highland Park, Roxbury, Boston","$2,950",5 Bed,1 Bath
819,"Waban, Newton","$2,800",3 Bed,2 Bath
820,"Allston, Boston","$3,700",5 Bed,1.5 Bath
821,"Downtown Boston, Boston","$2,639",Studio,1 Bath
822,"Downtown Boston, Boston","$3,674",Studio,1 Bath
823,"Downtown Boston, Boston","$3,749",1 Bed,1 Bath
824,"North End, Boston","$3,300",2 Bed,1 Bath
825,"Downtown Boston, Boston","$2,595",1 Bed,1 Bath
826,"Oak Square, Brighton, Boston","$3,000",4 Bed,1 Bath
827,"Allston, Boston","$3,600",4 Bed,1 Bath
828,"Quincy Center, Quincy","$2,770",2 Bed,2 Bath
829,"Prudential - St. Botolph, Back Bay, Boston","$3,500",2 Bed,1 Bath
830,"Coolidge Corner, Brookline","$9,500",4 Bed,4.5 Bath
831,"West Medford, Medford","$4,000",4 Bed,3.5 Bath
832,"Telegraph Hill, South Boston, Boston","$3,600",2 Bed,2 Bath
833,"Oak Square, Brighton, Boston","$3,300",3 Bed,3.5 Bath
834,"D Street - West Broadway, South Boston, Boston","$7,300",3 Bed,2.5 Bath
835,"Cambridgeport, Cambridge","$2,999",3 Bed,1 Bath
836,"Belmont Hill, Belmont","$4,500",3 Bed,2.5 Bath
837,"Medical Center Area, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,800",2 Bed,1 Bath
838,"Coolidge Corner, Brookline","$4,600",4 Bed,1 Bath
839,"Commonwealth, Brighton, Boston","$4,650",5 Bed,2 Bath
840,"Downtown Boston, Boston","$3,174",Studio,1 Bath
841,"Downtown Boston, Boston","$3,674",Studio,1 Bath
842,"Downtown Boston, Boston","$3,749",1 Bed,1 Bath
843,"Columbus, South End, Boston","$3,600",2 Bed,2 Bath
844,"North End, Boston","$3,300",2 Bed,1 Bath
845,"Downtown Boston, Boston","$2,595",1 Bed,1 Bath
846,"Allston, Boston","$5,200",5 Bed,2.5 Bath
847,"North End, Boston","$3,150",2 Bed,1 Bath
848,"Mission Hill, Boston","$4,100",4 Bed,1 Bath
849,"Mission Hill, Boston","$3,800",4 Bed,2 Bath
850,"Allston, Boston","$4,950",4 Bed,2 Bath
851,"Nonantum, Newton","$2,500",3 Bed,1 Bath
852,"Coolidge Corner, Brookline","$4,750",4 Bed,1.5 Bath
853,"Commonwealth, Brighton, Boston","$3,300",4 Bed,1 Bath
854,"North Allston, Allston, Boston","$5,595",5 Bed,3 Bath
855,"Waterfront, North End, Boston","$3,200",2 Bed,2 Bath
856,"Jeffries Point - Airport, East Boston, Boston","$3,000",4 Bed,1 Bath
857,"Washington Square, Brookline","$4,400",4 Bed,3 Bath
858,"Washington Square, Brookline","$2,100",2 Bed,1 Bath
859,"Oak Square, Brighton, Boston","$3,600",4 Bed,2 Bath
860,"Chinatown - Leather District, Boston","$4,145",1 Bed,1 Bath
861,"Chinatown - Leather District, Boston","$3,340",1 Bed,1 Bath
862,"Downtown Boston, Boston","$2,595",1 Bed,1 Bath
863,"Chinatown - Leather District, Boston","$4,425",2 Bed,2 Bath
864,"Mid-Cambridge, Cambridge","$3,400",3 Bed,1 Bath
865,"Downtown Boston, Boston","$2,375",Studio,1 Bath
866,"Chinatown - Leather District, Boston","$3,100",1 Bed,1 Bath
867,"Downtown Boston, Boston","$5,419",3 Bed,2 Bath
868,"Downtown Boston, Boston","$4,520",2 Bed,2 Bath
869,"Shawmut, South End, Boston","$3,350",2 Bed,1.5 Bath
870,"North Allston, Allston, Boston","$2,600",3 Bed,1 Bath
871,"Columbus, South End, Boston","$4,500",1 Bed,1 Bath
872,"St. Elizabeth's, Brighton, Boston","$3,800",5 Bed,2 Bath
873,"Allston, Boston","$4,300",5 Bed,3 Bath
874,"Spring Hill, Somerville","$4,799",5 Bed,2 Bath
875,"Ten Hills, Somerville","$2,200",2 Bed,1 Bath
876,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,340",1 Bed,1 Bath
877,"Oak Square, Brighton, Boston","$2,400",3 Bed,1 Bath
878,"Oak Square, Brighton, Boston","$2,800",3 Bed,1 Bath
879,"Coolidge Corner, Brookline","$5,500",5 Bed,2 Bath
880,"Washington Square, Brookline","$2,350",2 Bed,1 Bath
881,"North Cambridge, Cambridge","$3,900",2 Bed,2 Bath
882,"North End, Boston","$2,940",1 Bed,1 Bath
883,"North End, Boston","$2,800",2 Bed,1 Bath
884,"Oak Square, Brighton, Boston","$2,700",3 Bed,1 Bath
885,"Jeffries Point - Airport, East Boston, Boston","$1,950",2 Bed,1 Bath
886,"Allston, Boston","$3,100",4 Bed,2 Bath
887,"Prudential - St. Botolph, Back Bay, Boston","$4,296",2 Bed,1 Bath
888,"Mission Hill, Boston","$4,650",4 Bed,2 Bath
889,"Oak Square, Brighton, Boston","$3,500",3 Bed,2 Bath
890,"Commonwealth, Brighton, Boston","$1,975",2 Bed,1 Bath
891,"Washington Square, Brookline","$2,450",2 Bed,1 Bath
892,"Central Maverick Square - Paris Street, East Boston, Boston","$3,800",4 Bed,2 Bath
893,"Back Bay West, Back Bay, Boston","$3,100",2 Bed,1 Bath
894,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,675",1 Bed,1 Bath
895,"Downtown Boston, Boston","$20,000",3 Bed,3.5 Bath
896,"West End, Boston","$3,200",2 Bed,2 Bath
897,"Jeffries Point - Airport, East Boston, Boston","$3,750",4 Bed,1 Bath
898,"Highland Park, Roxbury, Boston","$3,250",3 Bed,1.5 Bath
899,"Egleston Square, Jamaica Plain, Boston","$2,495",2 Bed,1 Bath
900,"Mission Hill, Boston","$6,900",6 Bed,3 Bath
901,"North Cambridge, Cambridge","$3,900",2 Bed,2 Bath
902,"North End, Boston","$2,940",1 Bed,1 Bath
903,"North End, Boston","$2,800",2 Bed,1 Bath
904,"Washington Park, Roxbury, Boston","$4,000",5 Bed,2.5 Bath
905,"Oak Square, Brighton, Boston","$2,700",5 Bed,1.5 Bath
906,"Mission Hill, Boston","$4,550",4 Bed,1 Bath
907,"Mission Hill, Boston","$3,900",4 Bed,1 Bath
908,"Egleston Square, Jamaica Plain, Boston","$3,475",3 Bed,1 Bath
909,"Auburndale, Newton","$1,825",2 Bed,1 Bath
910,"Commonwealth, Brighton, Boston","$7,000",7 Bed,3 Bath
911,"Commonwealth, Brighton, Boston","$3,550",4 Bed,1 Bath
912,"Hyde Square, Jamaica Plain, Boston","$4,000",4 Bed,2 Bath
913,"North Allston, Allston, Boston","$2,125",2 Bed,1 Bath
914,"Central Maverick Square - Paris Street, East Boston, Boston","$2,500",3 Bed,1 Bath
915,"North Allston, Allston, Boston","$3,500",4 Bed,2 Bath
916,"Oak Square, Brighton, Boston","$2,400",2 Bed,1 Bath
917,"North Cambridge, Cambridge","$4,700",5 Bed,3.5 Bath
918,"Oak Square, Brighton, Boston","$5,000",5 Bed,2 Bath
919,"North End, Boston","$7,500",3 Bed,3 Bath
920,"Coolidge Corner, Brookline","$2,700",2 Bed,1 Bath
921,"North Cambridge, Cambridge","$3,900",2 Bed,2 Bath
922,"North End, Boston","$2,940",1 Bed,1 Bath
923,"North End, Boston","$2,800",2 Bed,1 Bath
924,"Washington Park, Roxbury, Boston","$4,000",5 Bed,2.5 Bath
925,"Beacon Hill, Boston","$3,500",2 Bed,1 Bath
926,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,850",1 Bed,1 Bath
927,"Mission Hill, Boston","$4,800",4 Bed,2 Bath
928,"Mid-Cambridge, Cambridge","$2,950",1 Bed,1 Bath
929,"North End, Boston","$2,940",1 Bed,1 Bath
930,"Bay Village, Boston","$3,885",1 Bed,1 Bath
931,"Coolidge Corner, Brookline","$5,400",4 Bed,3 Bath
932,"Oak Square, Brighton, Boston","$2,850",3 Bed,2 Bath
933,"Mission Hill, Boston","$3,385",2 Bed,2 Bath
934,"Forest Hills - Woodbourne, Jamaica Plain, Boston","$3,399",3 Bed,1.5 Bath
935,"South Side, Waltham","$2,195",1 Bed,1 Bath
936,"North End, Boston","$3,225",2 Bed,2 Bath
937,"Allston, Boston","$7,200",7 Bed,3 Bath
938,"Coolidge Corner, Brookline","$3,800",3 Bed,1 Bath
939,"Commonwealth, Brighton, Boston","$1,825",1 Bed,1 Bath
940,"Beacon Hill, Boston","$3,400",2 Bed,1 Bath
941,"Washington Park, Roxbury, Boston","$4,000",5 Bed,2.5 Bath
942,"Huron Village, West Cambridge, Cambridge","$3,594",3 Bed,1.5 Bath
943,"Huron Village, West Cambridge, Cambridge","$2,521",1 Bed,1 Bath
944,"Commonwealth, Brighton, Boston","$2,900",3 Bed,1 Bath
945,"North Allston, Allston, Boston","$2,800",4 Bed,1.5 Bath
946,"St. Elizabeth's, Brighton, Boston","$6,600",6 Bed,3.5 Bath
947,"Allston, Boston","$5,500",6 Bed,2 Bath
948,"Spring Hill, Somerville","$1,925",1 Bed,1 Bath
949,"Central Square, East Boston, Boston","$4,855",3 Bed,2 Bath
950,"Commonwealth, Brighton, Boston","$2,150",2 Bed,1 Bath
951,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,300",3 Bed,1 Bath
952,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,200",1 Bed,1 Bath
953,"Coolidge Corner, Brookline","$3,900",3 Bed,1 Bath
954,"Eagle Hill, East Boston, Boston","$3,800",4 Bed,1 Bath
955,"Mission Hill, Boston","$4,500",4 Bed,1 Bath
956,"Mission Hill, Boston","$5,000",5 Bed,1 Bath
957,"Newton Corner, Newton","$2,600",3 Bed,1 Bath
958,"West Newton, Newton","$3,950",3 Bed,3 Bath
959,"Brookline Village, Brookline","$3,775",4 Bed,2 Bath
960,"Lower Roxbury, Roxbury, Boston","$3,200",2 Bed,1 Bath
961,"Huron Village, West Cambridge, Cambridge","$3,594",3 Bed,1.5 Bath
962,"Huron Village, West Cambridge, Cambridge","$2,521",1 Bed,1 Bath
963,"Thompsonville, Newton","$2,100",2 Bed,1 Bath
964,"Commonwealth, Brighton, Boston","$1,850",1 Bed,1 Bath
965,"Newton Corner, Newton","$3,500",3 Bed,2 Bath
966,"Cleveland Circle, Brookline","$5,500",4 Bed,2.5 Bath
967,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,350",1 Bed,1 Bath
968,"Allston, Boston","$3,595",3 Bed,2 Bath
969,"Chestnut Hill, Brookline","$3,500",4 Bed,1 Bath
970,"Ward Two, Somerville","$3,200",3 Bed,1 Bath
971,"Oak Square, Brighton, Boston","$3,000",4 Bed,1 Bath
972,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,000",2 Bed,1 Bath
973,"Commonwealth, Brighton, Boston","$5,900",4 Bed,2.5 Bath
974,"Oak Square, Brighton, Boston","$2,700",3 Bed,1 Bath
975,"Oak Square, Brighton, Boston","$2,850",3 Bed,1 Bath
976,"Egleston Square, Jamaica Plain, Boston","$3,395",4 Bed,1 Bath
977,"North Allston, Allston, Boston","$3,400",3 Bed,2 Bath
978,"St. Elizabeth's, Brighton, Boston","$2,900",4 Bed,2.5 Bath
979,"Oak Square, Brighton, Boston","$4,200",5 Bed,2 Bath
980,"St. Elizabeth's, Brighton, Boston","$4,800",5 Bed,2 Bath
981,"Huron Village, West Cambridge, Cambridge","$3,594",3 Bed,1.5 Bath
982,"Huron Village, West Cambridge, Cambridge","$2,521",1 Bed,1 Bath
983,"Downtown Boston, Boston","$3,189",Studio,1 Bath
984,"North Allston, Allston, Boston","$5,500",7 Bed,3.5 Bath
985,"Hyde Square, Jamaica Plain, Boston","$4,000",4 Bed,2 Bath
986,"Commonwealth, Brighton, Boston","$2,500",3 Bed,1 Bath
987,"Oak Square, Brighton, Boston","$2,400",3 Bed,2 Bath
988,"North End, Boston","$5,500",3 Bed,3 Bath
989,"Commonwealth, Brighton, Boston","$2,770",3 Bed,1 Bath
990,"Commonwealth, Brighton, Boston","$2,195",2 Bed,1 Bath
991,"Coolidge Corner, Brookline","$4,900",4 Bed,2 Bath
992,"St. Elizabeth's, Brighton, Boston","$5,600",6 Bed,2 Bath
993,"Hyde Square, Jamaica Plain, Boston","$4,000",4 Bed,2 Bath
994,"Highland Park, Roxbury, Boston","$3,800",5 Bed,1.5 Bath
995,"Oak Square, Brighton, Boston","$3,600",4 Bed,2 Bath
996,"Oak Square, Brighton, Boston","$2,700",3 Bed,2 Bath
997,"Mission Hill, Boston","$6,399",7 Bed,3 Bath
998,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,900",4 Bed,2 Bath
999,"Bay Village, Boston","$6,025",2 Bed,2 Bath
1000,"Coolidge Corner, Brookline","$3,850",3 Bed,1 Bath
1001,"Hyde Square, Jamaica Plain, Boston","$3,300",3 Bed,1.5 Bath
1002,"Downtown Boston, Boston","$3,189",Studio,1 Bath
1003,"North End, Boston","$2,700",1 Bed,1 Bath
1004,"Oak Square, Brighton, Boston","$3,250",4 Bed,2 Bath
1005,"North Allston, Allston, Boston","$3,500",4 Bed,2 Bath
1006,"Mission Hill, Boston","$3,900",4 Bed,2 Bath
1007,"Downtown Boston, Boston","$4,300",2 Bed,2 Bath
1008,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,150",2 Bed,1 Bath
1009,"Columbia Point, Dorchester, Boston","$3,600",4 Bed,1.5 Bath
1010,"Nonantum, Newton","$3,800",4 Bed,2 Bath
1011,"Oak Square, Brighton, Boston","$4,500",5 Bed,2 Bath
1012,"Oak Square, Brighton, Boston","$2,500",3 Bed,1 Bath
1013,"Oak Square, Brighton, Boston","$2,500",3 Bed,1 Bath
1014,"St. Elizabeth's, Brighton, Boston","$2,800",3 Bed,1 Bath
1015,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,250",1 Bed,1 Bath
1016,"Brookline Village, Brookline","$2,000",2 Bed,1.5 Bath
1017,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,700",3 Bed,1 Bath
1018,"Mission Hill, Boston","$4,600",4 Bed,1 Bath
1019,"D Street - West Broadway, South Boston, Boston","$6,500",3 Bed,3.5 Bath
1020,"Commonwealth, Brighton, Boston","$2,800",3 Bed,1 Bath
1021,"Hyde Square, Jamaica Plain, Boston","$3,300",3 Bed,1.5 Bath
1022,"Downtown Boston, Boston","$3,189",Studio,1 Bath
1023,"North End, Boston","$2,700",1 Bed,1 Bath
1024,"St. Marks, Dorchester, Boston","$1,900",2 Bed,1 Bath
1025,"North Allston, Allston, Boston","$3,600",4 Bed,2.5 Bath
1026,"Washington Park, Roxbury, Boston","$3,495",4 Bed,2.5 Bath
1027,"Central Maverick Square - Paris Street, East Boston, Boston","$3,900",5 Bed,2 Bath
1028,"Oak Square, Brighton, Boston","$2,800",3 Bed,2 Bath
1029,"Mission Hill, Boston","$2,499",2 Bed,1 Bath
1030,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,400",2 Bed,1 Bath
1031,"Oak Square, Brighton, Boston","$2,600",4 Bed,1 Bath
1032,"Allston, Boston","$6,600",6 Bed,3 Bath
1033,"Newton Corner, Newton","$3,500",3 Bed,2 Bath
1034,"Coolidge Corner, Brookline","$3,700",3 Bed,2 Bath
1035,"Oak Square, Brighton, Boston","$2,200",2 Bed,1 Bath
1036,"East Somerville, Somerville","$2,595",1 Bed,1 Bath
1037,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,000",1 Bed,1 Bath
1038,"Mission Hill, Boston","$3,800",5 Bed,2 Bath
1039,"North Cambridge, Cambridge","$5,000",3 Bed,2 Bath
1040,"Back Bay East, Back Bay, Boston","$6,950",2 Bed,2 Bath
1041,"Downtown Boston, Boston","$3,249",1 Bed,1 Bath
1042,"North End, Boston","$2,700",1 Bed,1 Bath
1043,"St. Marks, Dorchester, Boston","$1,900",2 Bed,1 Bath
1044,"Oak Square, Brighton, Boston","$4,600",6 Bed,4 Bath
1045,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,050",3 Bed,1 Bath
1046,"Commonwealth, Brighton, Boston","$2,750",3 Bed,1 Bath
1047,"Commonwealth, Brighton, Boston","$6,600",6 Bed,4 Bath
1048,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$3,000",3 Bed,2 Bath
1049,"Allston, Boston","$5,200",4 Bed,2.5 Bath
1050,"Allston, Boston","$1,900",1 Bed,1 Bath
1051,"Neighborhood Nine, Cambridge","$2,875",1 Bed,1 Bath
1052,"Lower Roxbury, Roxbury, Boston","$3,500",3 Bed,1 Bath
1053,"St. Elizabeth's, Brighton, Boston","$4,900",5 Bed,2.5 Bath
1054,"Lower Roxbury, Roxbury, Boston","$3,600",3 Bed,1 Bath
1055,"Downtown Boston, Boston","$3,300",1 Bed,1 Bath
1056,"Commonwealth, Brighton, Boston","$3,600",3 Bed,1.5 Bath
1057,"Coolidge Corner, Brookline","$3,750",3 Bed,1 Bath
1058,"East Cambridge, Cambridge","$1,950",1 Bed,1 Bath
1059,"D Street - West Broadway, South Boston, Boston","$3,750",3 Bed,2 Bath
1060,"Oak Square, Brighton, Boston","$3,000",3 Bed,1 Bath
1061,"St. Marks, Dorchester, Boston","$1,900",2 Bed,1 Bath
1062,"Oak Square, Brighton, Boston","$4,600",6 Bed,4 Bath
1063,"Downtown Boston, Boston","$3,125",1 Bed,1 Bath
1064,"Mission Hill, Boston","$3,800",3 Bed,1 Bath
1065,"Coolidge Corner, Brookline","$3,825",3 Bed,1 Bath
1066,"Coolidge Corner, Brookline","$4,700",4 Bed,1 Bath
1067,"Coolidge Corner, Brookline","$4,500",4 Bed,1 Bath
1068,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,795",1 Bed,1 Bath
1069,"Prudential - St. Botolph, Back Bay, Boston","$3,750",2 Bed,1 Bath
1070,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,750",2 Bed,1 Bath
1071,"Commonwealth, Brighton, Boston","$4,750",5 Bed,2 Bath
1072,"Allston, Boston","$2,925",3 Bed,1 Bath
1073,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,600",2 Bed,1 Bath
1074,"Commonwealth, Brighton, Boston","$3,150",3 Bed,1 Bath
1075,"East Cambridge, Cambridge","$5,175",3 Bed,2 Bath
1076,"Commonwealth, Brighton, Boston","$4,750",5 Bed,2 Bath
1077,"Allston, Boston","$1,875",1 Bed,1 Bath
1078,"Area IV, Cambridge","$2,250",1 Bed,1 Bath
1079,"Commonwealth, Brighton, Boston","$1,795",1 Bed,1 Bath
1080,"St. Marks, Dorchester, Boston","$2,175",2 Bed,1 Bath
1081,"Oak Square, Brighton, Boston","$4,600",6 Bed,4 Bath
1082,"Downtown Boston, Boston","$3,125",1 Bed,1 Bath
1083,"Mission Hill, Boston","$3,800",3 Bed,1 Bath
1084,"Allston, Boston","$1,875",1 Bed,1 Bath
1085,"Coolidge Corner, Brookline","$6,200",5 Bed,2 Bath
1086,"Allston, Boston","$1,850",1 Bed,1 Bath
1087,"Oak Square, Brighton, Boston","$3,000",4 Bed,1 Bath
1088,"St. Elizabeth's, Brighton, Boston","$5,200",5 Bed,2 Bath
1089,"East Watertown, Watertown","$2,500",2 Bed,1 Bath
1090,"St. Elizabeth's, Brighton, Boston","$2,450",2 Bed,1 Bath
1091,"Mid-Cambridge, Cambridge","$2,400",1 Bed,1 Bath
1092,"Washington Square, Brookline","$2,795",2 Bed,1 Bath
1093,"Oak Square, Brighton, Boston","$3,500",4 Bed,2 Bath
1094,"Mid-Cambridge, Cambridge","$6,199",4 Bed,3.5 Bath
1095,"South Side, Waltham","$2,700",3 Bed,1 Bath
1096,"Magoun Square, Somerville","$4,000",4 Bed,2 Bath
1097,"Allston, Boston","$2,300",2 Bed,1 Bath
1098,"Newtonville, Newton","$3,500",5 Bed,2 Bath
1099,"Mission Hill, Boston","$3,500",3 Bed,2 Bath
1100,"Mission Hill, Boston","$4,200",4 Bed,2 Bath
1101,"Mission Hill, Boston","$3,800",3 Bed,1 Bath
1102,"Mission Hill, Boston","$3,100",3 Bed,1 Bath
1103,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,500",3 Bed,1 Bath
1104,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,400",4 Bed,1 Bath
1105,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,950",3 Bed,2 Bath
1106,"Cambridgeport, Cambridge","$3,326",2 Bed,2 Bath
1107,"St. Elizabeth's, Brighton, Boston","$2,700",3 Bed,1 Bath
1108,"Cleveland Circle, Brookline","$3,400",3 Bed,2 Bath
1109,"Forest Hills - Woodbourne, Jamaica Plain, Boston","$2,800",3 Bed,1 Bath
1110,"Waverley Square, Belmont","$2,950",3 Bed,2 Bath
1111,"Oak Square, Brighton, Boston","$8,300",8 Bed,3.5 Bath
1112,"Oak Square, Brighton, Boston","$4,300",6 Bed,2 Bath
1113,"North End, Boston","$2,600",2 Bed,2 Bath
1114,"Commonwealth, Brighton, Boston","$4,600",5 Bed,3 Bath
1115,"Hyde Square, Jamaica Plain, Boston","$3,250",3 Bed,2 Bath
1116,"St. Elizabeth's, Brighton, Boston","$2,625",3 Bed,1 Bath
1117,"Oak Square, Brighton, Boston","$3,500",3 Bed,2 Bath
1118,"Oak Square, Brighton, Boston","$2,975",3 Bed,2 Bath
1119,"Harbor View - Orient Heights, East Boston, Boston","$4,200",5 Bed,2 Bath
1120,"Commonwealth, Brighton, Boston","$5,400",5 Bed,2 Bath
1121,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,500",3 Bed,1 Bath
1122,"Allston, Boston","$4,600",6 Bed,2 Bath
1123,"Allston, Boston","$2,050",1 Bed,1 Bath
1124,"Egleston Square, Jamaica Plain, Boston","$2,495",3 Bed,1 Bath
1125,"Mission Hill, Boston","$3,900",3 Bed,1 Bath
1126,"Allston, Boston","$4,200",6 Bed,2 Bath
1127,"Oak Square, Brighton, Boston","$2,925",4 Bed,2 Bath
1128,"Nonantum, Newton","$1,850",1 Bed,1 Bath
1129,"Back Bay East, Back Bay, Boston","$2,300",1 Bed,1 Bath
1130,"Allston, Boston","$4,950",4 Bed,2 Bath
1131,"Mission Hill, Boston","$4,400",4 Bed,2 Bath
1132,"Mission Hill, Boston","$2,650",2 Bed,1 Bath
1133,"Commonwealth, Brighton, Boston","$4,500",5 Bed,3 Bath
1134,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$7,200",2 Bed,2 Bath
1135,"St. Elizabeth's, Brighton, Boston","$4,500",4 Bed,1.5 Bath
1136,"Oak Square, Brighton, Boston","$3,500",5 Bed,2 Bath
1137,"Oak Square, Brighton, Boston","$4,200",5 Bed,2 Bath
1138,"Commonwealth, Brighton, Boston","$2,250",2 Bed,1 Bath
1139,"Allston, Boston","$2,000",2 Bed,1 Bath
1140,"Coolidge Corner, Brookline","$4,900",4 Bed,2 Bath
1141,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,500",3 Bed,1 Bath
1142,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,370",1 Bed,1 Bath
1143,"Downtown Boston, Boston","$3,860",1 Bed,1 Bath
1144,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,838",1 Bed,1 Bath
1145,"Commonwealth, Brighton, Boston","$3,295",3 Bed,1 Bath
1146,"Allston, Boston","$3,000",4 Bed,1.5 Bath
1147,"St. Elizabeth's, Brighton, Boston","$1,875",1 Bed,1 Bath
1148,"Coolidge Corner, Brookline","$3,600",3 Bed,1 Bath
1149,"St. Elizabeth's, Brighton, Boston","$2,750",3 Bed,2 Bath
1150,"Brookline Village, Brookline","$3,825",4 Bed,2 Bath
1151,"Oak Square, Brighton, Boston","$4,000",5 Bed,1 Bath
1152,"Oak Square, Brighton, Boston","$2,925",4 Bed,2 Bath
1153,"Ten Hills, Somerville","$3,399",3 Bed,2.5 Bath
1154,"Chinatown - Leather District, Boston","$3,995",2 Bed,2 Bath
1155,"St. Elizabeth's, Brighton, Boston","$3,100",4 Bed,1 Bath
